precedence+++    |arg2-as-detail+++|-0.27  |  discogem_multi_leaves_continuous_CLR_pearson
negative-condition|substitution     |+0.84  |  discogem_multi_level2_continuous_CLR_spearman
purpose          |disjunction      |+0.98  |  discogem_multi_level2_continuous_CLR_spearman
purpose          |equivalence      |+0.89  |  discogem_multi_level2_continuous_CLR_spearman
purpose          |manner           |+0.97  |  discogem_multi_level2_continuous_CLR_spearman
purpose          |exception        |+0.98  |  discogem_multi_level2_continuous_CLR_spearman
purpose          |substitution     |+0.83  |  discogem_multi_level2_continuous_CLR_spearman
disjunction      |equivalence      |+0.89  |  discogem_multi_level2_continuous_CLR_spearman
disjunction      |manner           |+0.96  |  discogem_multi_level2_continuous_CLR_spearman
disjunction      |exception        |+0.98  |  discogem_multi_level2_continuous_CLR_spearman
disjunction      |substitution     |+0.83  |  discogem_multi_level2_continuous_CLR_spearman
equivalence      |manner           |+0.88  |  discogem_multi_level2_continuous_CLR_spearman
equivalence      |exception        |+0.89  |  discogem_multi_level2_continuous_CLR_spearman
equivalence      |substitution     |+0.77  |  discogem_multi_level2_continuous_CLR_spearman
manner           |exception        |+0.97  |  discogem_multi_level2_continuous_CLR_spearman
manner           |substitution     |+0.82  |  discogem_multi_level2_continuous_CLR_spearman
exception        |substitution     |+0.83  |  discogem_multi_level2_continuous_CLR_spearman
synchronous+++   |condition        |+0.77  |  discogem_multi_level2_continuous_CLR_kendall
synchronous+++   |negative-condition|+0.77  |  discogem_multi_level2_continuous_CLR_kendall
synchronous+++   |purpose          |+0.76  |  discogem_multi_level2_continuous_CLR_kendall
synchronous+++   |disjunction      |+0.76  |  discogem_multi_level2_continuous_CLR_kendall
synchronous+++   |manner           |+0.75  |  discogem_multi_level2_continuous_CLR_kendall
synchronous+++   |exception        |+0.77  |  discogem_multi_level2_continuous_CLR_kendall
cause+++         |conjunction+++   |-0.13  |  discogem_multi_level2_continuous_CLR_kendall
condition        |negative-condition|+0.99  |  discogem_multi_level2_continuous_CLR_kendall
condition        |purpose          |+0.99  |  discogem_multi_level2_continuous_CLR_kendall
condition        |similarity+++    |+0.71  |  discogem_multi_level2_continuous_CLR_kendall
condition        |disjunction      |+0.98  |  discogem_multi_level2_continuous_CLR_kendall
condition        |equivalence      |+0.91  |  discogem_multi_level2_continuous_CLR_kendall
condition        |manner           |+0.98  |  discogem_multi_level2_continuous_CLR_kendall
condition        |exception        |+0.99  |  discogem_multi_level2_continuous_CLR_kendall
condition        |substitution     |+0.86  |  discogem_multi_level2_continuous_CLR_kendall
negative-condition|purpose          |+0.99  |  discogem_multi_level2_continuous_CLR_kendall
negative-condition|similarity+++    |+0.71  |  discogem_multi_level2_continuous_CLR_kendall
negative-condition|disjunction      |+0.99  |  discogem_multi_level2_continuous_CLR_kendall
negative-condition|equivalence      |+0.92  |  discogem_multi_level2_continuous_CLR_kendall
negative-condition|manner           |+0.98  |  discogem_multi_level2_continuous_CLR_kendall
negative-condition|exception        |+0.99  |  discogem_multi_level2_continuous_CLR_kendall
negative-condition|substitution     |+0.87  |  discogem_multi_level2_continuous_CLR_kendall
purpose          |similarity+++    |+0.70  |  discogem_multi_level2_continuous_CLR_kendall
purpose          |disjunction      |+0.98  |  discogem_multi_level2_continuous_CLR_kendall
purpose          |equivalence      |+0.91  |  discogem_multi_level2_continuous_CLR_kendall
purpose          |manner           |+0.97  |  discogem_multi_level2_continuous_CLR_kendall
purpose          |exception        |+0.98  |  discogem_multi_level2_continuous_CLR_kendall
purpose          |substitution     |+0.86  |  discogem_multi_level2_continuous_CLR_kendall
similarity+++    |disjunction      |+0.70  |  discogem_multi_level2_continuous_CLR_kendall
similarity+++    |exception        |+0.70  |  discogem_multi_level2_continuous_CLR_kendall
disjunction      |equivalence      |+0.91  |  discogem_multi_level2_continuous_CLR_kendall
disjunction      |manner           |+0.97  |  discogem_multi_level2_continuous_CLR_kendall
disjunction      |exception        |+0.98  |  discogem_multi_level2_continuous_CLR_kendall
disjunction      |substitution     |+0.86  |  discogem_multi_level2_continuous_CLR_kendall
equivalence      |manner           |+0.90  |  discogem_multi_level2_continuous_CLR_kendall
equivalence      |exception        |+0.91  |  discogem_multi_level2_continuous_CLR_kendall
equivalence      |substitution     |+0.81  |  discogem_multi_level2_continuous_CLR_kendall
manner           |exception        |+0.97  |  discogem_multi_level2_continuous_CLR_kendall
manner           |substitution     |+0.85  |  discogem_multi_level2_continuous_CLR_kendall
exception        |substitution     |+0.86  |  discogem_multi_level2_continuous_CLR_kendall
temporal         |comparision      |-0.46  |  discogem_multi_level1_continuous_CLR_pearson
contingency      |expansion        |-0.23  |  discogem_multi_level1_continuous_CLR_pearson
temporal         |comparision      |-0.46  |  discogem_multi_level1_continuous_CLR_spearman
contingency      |expansion        |-0.06  |  discogem_multi_level1_continuous_CLR_spearman
temporal         |expansion        |-0.01  |  discogem_multi_level1_continuous_CLR_kendall
contingency      |comparision      |-0.27  |  discogem_multi_level1_continuous_CLR_kendall
synchronous+++   |arg1-as-cond     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
synchronous+++   |arg2-as-cond     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
synchronous+++   |arg1-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
synchronous+++   |arg2-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
synchronous+++   |arg1-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
synchronous+++   |arg2-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
synchronous+++   |disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
synchronous+++   |arg1-as-instance |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
synchronous+++   |equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
synchronous+++   |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
synchronous+++   |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
synchronous+++   |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
synchronous+++   |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
precedence+++    |arg1-as-cond     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
precedence+++    |arg2-as-cond     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
precedence+++    |arg1-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
precedence+++    |arg2-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
precedence+++    |arg1-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
precedence+++    |arg2-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
precedence+++    |disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
precedence+++    |arg1-as-instance |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
precedence+++    |equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
precedence+++    |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
precedence+++    |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
precedence+++    |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
precedence+++    |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
succession       |arg1-as-cond     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
succession       |arg2-as-cond     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
succession       |arg1-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
succession       |arg2-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
succession       |arg1-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
succession       |arg2-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
succession       |disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
succession       |arg1-as-instance |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
succession       |equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
succession       |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
succession       |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
succession       |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
succession       |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
succession       |arg2-as-subst    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
reason+++        |arg1-as-cond     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
reason+++        |arg2-as-cond     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
reason+++        |arg1-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
reason+++        |arg2-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
reason+++        |arg1-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
reason+++        |arg2-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
reason+++        |disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
reason+++        |equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
reason+++        |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
reason+++        |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
reason+++        |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
reason+++        |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
reason+++        |arg2-as-subst    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
result+++        |arg1-as-cond     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
result+++        |arg2-as-cond     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
result+++        |arg1-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
result+++        |arg2-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
result+++        |arg2-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
result+++        |disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
result+++        |arg2-as-detail+++|+0.23  |  discogem_multi_leaves_binary_0.1_Phi_corr
result+++        |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
result+++        |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
result+++        |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
result+++        |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg2-as-cond     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg1-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg2-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg1-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg2-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg1-as-denier+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg2-as-denier+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |contrast+++      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |similarity+++    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |conjunction+++   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg1-as-instance |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg2-as-instance+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg1-as-detail+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg2-as-detail+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-cond     |arg2-as-subst    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg1-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg2-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg1-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg2-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg1-as-denier+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg2-as-denier+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |contrast+++      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |similarity+++    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |conjunction+++   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg1-as-instance |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg2-as-instance+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg1-as-detail+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg2-as-detail+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-cond     |arg2-as-subst    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |arg2-as-negcond  |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |arg1-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |arg2-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |arg1-as-denier+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |contrast+++      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |similarity+++    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |conjunction+++   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |arg1-as-instance |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |arg2-as-instance+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |arg1-as-detail+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |arg2-as-detail+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-negcond  |arg2-as-subst    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |arg1-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |arg2-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |arg1-as-denier+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |arg2-as-denier+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |contrast+++      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |similarity+++    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |conjunction+++   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |arg1-as-instance |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |arg2-as-instance+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |arg1-as-detail+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |arg2-as-detail+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-negcond  |arg2-as-subst    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |arg2-as-goal     |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |arg1-as-denier+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |arg2-as-denier+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |contrast+++      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |similarity+++    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |arg1-as-instance |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |arg2-as-instance+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |arg1-as-detail+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |arg2-as-detail+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-goal     |arg2-as-subst    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |arg1-as-denier+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |arg2-as-denier+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |contrast+++      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |similarity+++    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |conjunction+++   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |arg1-as-instance |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |arg2-as-instance+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |arg1-as-detail+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |arg2-as-detail+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-goal     |arg2-as-subst    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-denier+++|disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-denier+++|arg1-as-instance |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-denier+++|equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-denier+++|arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-denier+++|arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-denier+++|arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-denier+++|arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-denier+++|disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-denier+++|equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-denier+++|arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-denier+++|arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-denier+++|arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-denier+++|arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-denier+++|arg2-as-subst    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
contrast+++      |disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
contrast+++      |arg1-as-instance |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
contrast+++      |equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
contrast+++      |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
contrast+++      |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
contrast+++      |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
contrast+++      |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
similarity+++    |disjunction      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
similarity+++    |arg1-as-instance |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
similarity+++    |equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
similarity+++    |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
similarity+++    |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
similarity+++    |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
similarity+++    |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
conjunction+++   |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
conjunction+++   |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
conjunction+++   |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
conjunction+++   |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
disjunction      |arg1-as-instance |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
disjunction      |arg2-as-instance+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
disjunction      |arg1-as-detail+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
disjunction      |equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
disjunction      |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
disjunction      |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
disjunction      |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
disjunction      |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
disjunction      |arg2-as-subst    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-instance |arg1-as-detail+++|+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-instance |equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-instance |arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-instance |arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-instance |arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-instance |arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-instance |arg2-as-subst    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-instance+++|equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-instance+++|arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-instance+++|arg2-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-instance+++|arg1-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg2-as-instance+++|arg2-as-excpt    |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-detail+++|equivalence      |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
arg1-as-detail+++|arg1-as-manner   |+0.00  |  discogem_multi_leaves_binary_0.1_Phi_corr
